distance_m,smooth_m,relief_east_m,relief_deepest_gully_m
0,264.00,264.00,264.00
16,264.00,264.00,264.00
32,280.43,280.43,280.43
48,297.32,280.24,281.15
64,288.52,248.16,253.37
80,277.40,226.37,233.04
96,264.11,211.59,216.96
112,248.82,195.67,198.59
128,231.74,178.92,178.54
144,213.13,160.83,156.69
160,193.24,141.45,132.91
176,172.39,121.56,108.47
192,150.92,101.82,85.49
208,129.21,82.45,65.35
224,107.65,63.66,47.34
240,86.68,46.29,31.17
256,66.78,30.79,17.57
272,48.44,17.65,7.35
288,32.20,7.58,1.32
304,18.63,1.44,0.00
320,8.31,0.00,0.00
336,1.90,0.00,0.00
352,0.00,0.00,0.00
368,0.00,0.00,0.00
