distance_m,smooth_m,relief_east_m,relief_deepest_gully_m
0,176.00,176.00,176.00
16,176.00,176.00,176.00
32,176.00,176.00,176.00
48,176.00,176.00,176.00
64,176.00,176.00,176.00
80,176.00,176.00,176.00
96,176.00,176.00,176.00
112,176.00,176.00,176.00
128,176.00,176.00,176.00
144,176.82,176.82,176.82
160,180.00,180.00,180.00
176,184.70,184.70,184.70
192,189.99,189.99,189.99
208,194.93,194.93,194.93
224,198.58,198.37,198.58
240,200.00,198.13,198.69
256,199.98,197.83,198.41
272,199.95,197.39,198.00
288,199.91,196.84,197.46
304,199.87,196.18,196.81
320,199.82,195.47,196.09
336,199.76,194.76,195.36
352,199.69,194.13,194.71
368,199.62,193.65,194.12
384,199.53,193.33,193.60
400,199.43,193.19,193.19
416,199.32,193.24,192.88
432,199.20,193.45,192.71
448,199.06,193.74,192.57
464,198.90,194.00,192.39
480,198.73,194.20,192.15
496,198.54,194.33,191.82
512,198.33,194.37,191.40
528,198.10,194.34,190.87
544,197.85,194.29,190.22
560,197.58,194.20,189.49
576,197.28,194.07,188.69
592,196.95,193.89,187.85
608,196.60,193.66,187.00
624,196.22,193.37,186.15
640,195.81,193.02,185.34
656,195.37,192.60,184.58
672,194.89,192.11,183.89
688,194.38,191.54,183.30
704,193.83,190.92,182.76
720,193.24,190.25,182.25
736,192.61,189.52,181.75
752,191.94,188.74,181.23
768,191.22,187.91,180.67
784,190.46,187.02,180.05
800,189.65,186.07,179.34
816,188.79,185.07,178.52
832,187.88,184.01,177.57
848,186.91,182.88,176.43
864,185.89,181.70,175.10
880,184.80,180.46,173.56
896,183.66,179.17,171.84
912,182.46,177.80,169.95
928,181.19,176.36,167.91
944,179.85,174.84,165.72
960,178.44,173.24,163.42
976,176.96,171.54,161.02
992,175.41,169.76,158.55
1008,173.78,167.86,156.05
1024,172.07,165.86,153.54
1040,170.28,163.68,150.99
1056,168.40,161.29,148.37
1072,166.44,158.74,145.73
1088,164.38,156.03,143.08
1104,162.23,153.18,140.46
1120,159.99,150.23,137.88
1136,157.65,147.18,135.35
1152,155.21,144.06,132.85
1168,152.66,140.87,130.35
1184,150.01,137.64,127.83
1200,147.25,134.35,125.27
1216,144.38,130.94,122.70
1232,141.39,127.42,120.08
1248,138.28,123.77,117.34
1264,135.04,120.00,114.45
1280,131.69,116.11,111.36
1296,128.20,112.10,108.05
1312,124.59,107.96,104.49
1328,120.84,103.70,100.68
1344,116.95,99.31,96.59
1360,112.92,94.80,92.23
1376,108.74,90.15,87.64
1392,104.42,85.36,82.89
1408,99.95,80.58,78.15
1424,95.32,75.78,73.44
1440,90.53,71.14,68.87
1456,85.58,66.65,64.47
1472,80.77,62.30,60.21
1488,75.98,58.09,56.11
1504,71.34,54.02,52.17
1520,66.84,50.07,48.37
1536,62.49,46.27,44.73
1552,58.29,42.60,41.23
1568,54.24,39.07,37.87
1584,50.33,35.70,34.64
1600,46.56,32.47,31.56
1616,42.95,29.39,28.61
1632,39.48,26.47,25.80
1648,36.15,23.69,23.12
1664,32.97,21.08,20.58
1680,29.94,18.61,18.17
1696,27.05,16.30,15.91
1712,24.31,14.15,13.79
1728,21.72,12.16,11.81
1744,19.27,10.31,9.99
1760,16.97,8.62,8.31
1776,14.82,7.08,6.78
1792,12.81,5.69,5.41
1808,10.95,4.46,4.20
1824,9.23,3.37,3.14
1840,7.66,2.43,2.23
1856,6.24,1.64,1.48
1872,4.96,1.01,0.88
1888,3.83,0.53,0.44
1904,2.84,0.20,0.15
1920,2.00,0.03,0.01
1936,1.31,0.00,0.00
1952,0.77,0.00,0.00
1968,0.37,0.00,0.00
1984,0.11,0.00,0.00
2000,0.00,0.00,0.00
2016,0.00,0.00,0.00
