distance_m,smooth_m,relief_east_m,relief_deepest_gully_m
0,540.00,540.00,540.00
16,540.00,540.00,540.00
32,540.00,540.00,540.00
48,540.00,540.00,540.00
64,540.00,540.00,540.00
80,540.03,540.03,540.03
96,550.01,550.01,550.01
112,570.56,570.56,570.56
128,590.83,590.83,590.83
144,600.00,583.92,584.36
160,590.91,570.30,571.86
176,581.82,553.73,557.45
192,572.73,535.89,542.31
208,563.64,519.05,527.45
224,554.55,503.16,513.08
240,545.45,490.12,500.32
256,536.36,481.24,489.61
272,527.27,475.61,480.39
288,518.18,470.31,470.90
304,509.09,464.76,460.97
320,500.00,458.49,450.15
336,490.91,451.28,437.99
352,481.82,443.78,423.38
368,472.73,436.10,407.95
384,463.64,428.19,392.91
400,454.55,420.56,378.51
416,445.45,413.28,364.73
432,436.36,405.59,352.10
448,427.27,396.84,339.57
464,418.18,387.89,326.11
480,409.09,379.41,311.70
496,400.00,370.84,297.16
512,390.91,361.68,283.77
528,381.82,351.49,271.51
544,372.73,340.69,259.92
560,363.64,330.00,248.79
576,354.55,320.10,238.13
592,345.45,311.18,228.15
608,336.36,302.70,219.19
624,327.27,294.14,210.96
640,318.18,285.02,203.21
656,309.09,275.19,195.60
672,300.00,264.73,188.06
688,290.91,253.55,180.63
704,281.82,242.21,173.43
720,272.73,230.67,166.54
736,263.64,218.98,159.89
752,254.55,207.69,153.36
768,245.45,197.27,147.03
784,236.36,187.69,140.90
800,227.27,178.38,134.73
816,218.18,169.13,128.10
832,209.09,159.79,120.80
848,200.00,150.53,113.11
864,190.91,141.56,105.32
880,181.82,132.75,97.62
896,172.73,124.02,90.05
912,163.64,115.20,82.67
928,154.55,106.29,75.48
944,145.45,97.44,68.39
960,136.36,88.74,61.25
976,127.27,80.28,54.00
992,118.18,71.84,46.61
1008,109.09,63.19,39.12
1024,100.00,54.22,31.66
1040,90.91,45.00,24.39
1056,81.82,35.74,17.38
1072,72.73,26.55,10.60
1088,63.64,17.47,3.87
1104,54.55,8.46,0.00
1120,45.45,0.00,0.00
1136,36.36,0.00,0.00
1152,27.27,0.00,0.00
1168,18.18,0.00,0.00
1184,9.09,0.00,0.00
1200,0.00,0.00,0.00
1216,0.00,0.00,0.00
